Indicator,F1 Score,Support
3.1.2,0.0,14
3.9.3,0.15384615384615385,11
3.3.4,0.2,7
3.8.2,0.2222222222222222,23
3.b.3,0.27848101265822783,59
3.1.1,0.2962962962962963,17
3.2.2,0.3,16
3.9.1,0.3333333333333333,8
3.2.1,0.35555555555555557,33
3.6.1,0.4,3
3.8.1,0.42105263157894735,77
3.4.2,0.42857142857142855,9
3.3.5,0.45454545454545453,25
3.5.1,0.47619047619047616,12
3.a.1,0.5263157894736842,12
3.c.1,0.5454545454545454,37
3.d.1,0.5769230769230769,32
3.5.2,0.5882352941176471,10
3.b.1,0.6222222222222222,30
3.9.2,0.6530612244897959,29
3.3.2,0.6530612244897959,32
3.7.2,0.6842105263157895,24
3.b.2,0.7425149700598802,172
3.7.1,0.7441860465116279,26
3.4.1,0.768,67
3.3.3,0.7857142857142857,33
3.3.1,0.822429906542056,60
