Unique ID,Type,clean_text,label_list,label_count,3.1.1 - Maternal mortality ratio,3.1.2 - Proportion of births attended by skilled health personnel,3.2.1 - Under-5 mortality rate,3.2.2 - Neonatal mortality rate,"3.3.1 - Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","3.3.2 - Tuberculosis incidence per 100,000 population","3.3.3 - Malaria incidence per 1,000 population","3.3.4 - Hepatitis B incidence per 100,000 population",3.3.5 - Number of people requiring interventions against neglected tropical diseases,"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",3.4.2 - Suicide mortality rate,"3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders","3.5.2 - Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",3.6.1 - Death rate due to road traffic injuries,3.7.1 - Proportion of women of reproductive age (aged 15_49 years) who have their need for family planning satisfied with modern methods,"3.7.2 - Adolescent birth rate (aged 10_14 years; aged 15_19 years) per 1,000 women in that age group","3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",3.8.2 - Proportion of population with large household expenditures on health as a share of total household expenditure or income,3.9.1 - Mortality rate attributed to household and ambient air pollution,"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",3.9.3 - Mortality rate attributed to unintentional poisoning,3.a.1 - Age-standardized prevalence of current tobacco use among persons aged 15 years and older,3.b.1 - Proportion of the target population covered by all vaccines included in their national programme,3.b.2 - Total net official development assistance to medical research and basic health sector,3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,3.c.1 - Health worker density and distribution,3.d.1 - International Health Regulations (IHR) capacity and health emergency preparedness
12555,Grant,center biomedical research excellence cobre phase iii transitional center funding opportunity description institutional development award idea program endeavor stimulate research institution state traditionally received significant level research funding nih created congressional mandate idea program broadens geographic distribution nih funding competitive biomedical behavioral research enhancing research capability institution eligible state idea program aim achieve goal two major initiative idea network biomedical research excellence inbre center biomedical research excellence cobre cobre initiative seek develop unique innovative multidisciplinary collaborative stateoftheart biomedical behavioral research center focused scientific theme nascent minimally developed applicant institution accomplished nurturing expanding critical mass competitive biomedical research investigator intensive career advising development emerging research faculty aggressive recruitment seasoned investigator enhancing research environment infrastructure establishment critical core resource cobre support consists three sequential fiveyear phase phase focus development requisite research resource infrastructure provision formal research career advising guidance well research project funding junior investigator facilitate acquisition preliminary data successful competition independent research grant support phase intended strengthen center support enhancement growing research infrastructure continuing development expansion critical mass investigator shared scientific interest ten year cobre support center aligned investigator expected able compete successfully source research funding including individual andor program project center grant nih institute center federal nonfederal entity cobre phase iii focus funding opportunity announcement primarily provides support scientific technical core become independent service research facility institution following objective facilitate transition research core resource developed phase sustainable stateoftheart core facility capable supporting conduct highcaliber biomedical research sustain research environment developed first two phase providing support pilot research project career guidance enhancement activity,3.b.2 - Total net official development assistance to medical research and basic health sector|3.c.1 - Health worker density and distribution,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
14108,Grant,research regenerative medicine introduction support translation fundamental discovery toward benefit human health translation burgeoning knowledge regenerative medicine new treatment strategy key objective mrcs strategic plan biomedical catalyst regenerative medicine research committee rmrc provides support high quality proposal may underpin progress development regenerative medicine therapy improve human health rmrc support confidence concept study successful promote translation fundamental discovery toward benefit human health thereby accelerating transition discovery research mature translational development project fund preliminary work feasibility study establish viability approach addressing focussed research question needed unlock progress preclinical development andor early clinical testing novel regenerative medicine therapy form part mrcs translational research strategy form part biomedical catalyst funding stream operating conjunction developmental pathway funding scheme background translation burgeoning knowledge regenerative medicine new treatment strategy key objective mrcs strategic plan biomedical catalyst regenerative medicine research committee rmrc provide support high quality proposal aiming provide sufficient preliminary data establish viability progressing regenerative medicine approach seeking substantive funding developmental pathway funding scheme intended derisk andor accelerate transition discovery research mature translational development project apply eligible standard mrc research grant described guidance applicant research council website mrc unitinstitute staff investigator international institution apply coapplicants however research carried main part within clearly led principle investigator within institution,3.b.2 - Total net official development assistance to medical research and basic health sector,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23168,Organization,catholic health association india chai catholic health association india celebrates year service organization grown term membership service expanded scope encompassing achieving mission established organization shaped nurtured visionary directed impact national international happening paradigm shift meet need fulfill vision mission reaching poor marginalized vision catholic health association india upholds commitment bring health view health state complete physical mental social spiritual wellbeing merely absence sickness accordingly chai envisions india wherein people assured clean air water environment suffer preventable disease able manage health need able control force cause ill health enjoy dignity equality partner decision affect irrespective caste creed religion economic status respect human life hold nurture grow fullness mission order realize vision chai endeavour promote community health understood process enabling people especially poor marginalized collectively responsible attain maintain health demand health right ensure availability quality health care reasonable cost prevent control communicable noncommunicable disease cause huge public health burden well take heavy toll human life country provide relief disaster victim country bring affected normal level functioning ensure relief rehabilitation person disability sustain advocacy cause poor needy,"3.d.1 - International Health Regulations (IHR) capacity and health emergency preparedness|3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)|3.8.2 - Proportion of population with large household expenditures on health as a share of total household expenditure or income|3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
219512,Contract,quality improvement initiative diabetes,"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274093,Tender,provision thalassemia drug disposable background islamic relief international aid development charity aim alleviate suffering world poorest people independent nongovernmental organization ngo founded well responding disaster emergency islamic relief promotes sustainable economic social development working local community regardless race religion gender vision inspired islamic faith guided value envisage caring world community empowered social obligation fulfilled people respond one suffering others mission exemplifying islamic value mobilize resource build partnership develop local capacity work enable community mitigate effect disaster prepare occurrence respond providing relief protection recovery promote integrated development environmental custodianship focus sustainable livelihood support marginalized vulnerable voice need address root cause poverty allocate resource regardless race political affiliation gender belief without expecting anything return international level islamic relief worldwide irw consultative status economic social council signatory international red cross red crescent code conduct irw committed millennium development goal mdgs raising awareness issue affect poor community work ground islamic relief one charity fulfilled criterion become member disaster emergency committee irw endeavour work closely local community focusing capacitybuilding empowerment help achieve development without dependency introduction islamic relief worldwide syria operation turkey based istanbul providing support aid syrian people inside syria requirement islamic relief sending lifesaving aid supply syria response country escalating conflict mounting number casualty supplying thalassemia drug disposable numerous health service provider northern syria primary objective intervention provide various type medical assistance vulnerable patient internally displaced also inhabitant various health facility northern part syria aid performed crossborder operation neighbouring country syria possible local supply enabling effected health facility stay operational offer free charge health service stated expected outcome thalassemia drug disposable aid part major islamic relief emergency health response provided million pound worth assistance people syria medical supply medical device delivered deep inside syria recent month people desperate need able gain steady access health service health service provider received assistance medical stock medical device equipment clean water service,"3.3.5 - Number of people requiring interventions against neglected tropical diseases|3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51151,Funding Info,egypt country programme family planning population egypt witnessed dramatic increase last decade estimated population million compared total million people absolute term population increased million year also extreme pressure limited land water resource per cent today population living per cent territory steady increase per cent per year threatens hinder development effort major implication security quality life basic service education health housing water programme aim assist country achieving aspirational goal egypt vision relevant agenda contributes primarily progressive achievement sdg goal programme target group woman adolescent youth particularly need including disabled rural community migrant people affected emergency use differentiated approach targeting selected governorates poorest sexual reproductive health indicator egypt also recently committed family planning outcome sexual reproductive health strengthened capacity line ministry civil society governorates national level provision highquality integrated rightsbased reproductive health family planning service including youth humanitarian setting outcome adolescent youth strengthened capacity relevant governmental institution youthled civil society development implementation multidimensional youth strategy facilitate access reproductive health knowledge information skill service vulnerable marginalized young people outcome gender equality empowerment enhanced capacity government civil society prevent respond genderbased violence particular attention harmful practice affecting woman girl including affected emergency ministry international cooperation act coordinating authority programme programme implementation use national execution modality government nongovernment partner programme benefit coordination ministerial task force work unfpa established prime minister egypt task force includes ministry health population youth social solidarity education local development culture planning situation lack national capacity unfpa may directly implement programme unfpa government systematically carry programme quarterly annual review active participation stakeholder unfpa jointly partner conduct field monitoring visit assess progress workplan implementation result achievement monitoring visit tracking tool used ensure timely implementation monitoring recommendation mechanism inform adjust programme design implementation thematic country programme evaluation conducted per country programme evaluation plan,"3.7.1 - Proportion of women of reproductive age (aged 15_49 years) who have their need for family planning satisfied with modern methods|3.7.2 - Adolescent birth rate (aged 10_14 years; aged 15_19 years) per 1,000 women in that age group",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12265,Grant,improving quantification forecasting new drug regimen based updated guidance introduction background unops hosted stop partnership secretariat january stop partnership stbp direction executive director leading way world without tuberculosis disease curable still kill three people every minute founded partnership mission serve every person vulnerable ensure highquality treatment available need key initiative stop partnership goal global drug facility gdf facilitate worldwide equitable access medicine diagnostics across public private sector goal achieved management coordination market activity full portfolio medicine diagnostics strategic procurement innovative logistics solution technical assistance capacity building programme better pharmaceutical management practice accelerated uptake new medicine regimen diagnostics gdf call proposal cfp invite proposal qualified organization interested receiving grant support develop implement tool help improve gdfs approach quantification forecasting new drug regimen past five year two new medicine received conditional approval stringent regulatory authority treatment drugresistant approval followed interim guidance world health organization use new drug including dose frequency administration duration treatment patient population would benefit recommendation monitoring safety however drugresistant scaleup treatment action team drtb stat estimate july july less patient could benefit new drug actually received,"3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis|3.b.2 - Total net official development assistance to medical research and basic health sector|3.3.2 - Tuberculosis incidence per 100,000 population",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14446,Grant,call metrology emerging radiopharmaceutical delivering high liner energy transfer radiation,"3.b.2 - Total net official development assistance to medical research and basic health sector|3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14000,Grant,funding stimulate clinical translational multicentric research hospital fund irisresearch created stimulate clinical translational multicentric research hospital irisnetwork brussels well collaboration hospital fund managed king baudouin foundation help scientific jury management committee every year call research project launched application fellowship training grant also eligible get first idea kind information asked provide download annex please note final application done completely online including annex fund irisresearch created stimulate clinical translational multicentric research hospital irisnetwork brussels well collaboration hospital fund managed king baudouin foundation help scientific jury management committee every year call research project launched application fellowship training grant also eligible get first idea kind information asked provide download annex please note final application done completely online including annex,3.b.2 - Total net official development assistance to medical research and basic health sector,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280626,Tender,procurement radiopharmaceutical treatment cancer patient lot letter invitation itb undpukr procurement radiopharmaceutical treatment cancer patient dear bidder government ukraine urgent need secure medicine essential health commodity affordable price sufficient quantity following recently adopted legislation allowing selected international organization provide procurement support service ministry health ukraine requested united nation development programme undp support procurement distribution number state programme medicine medical product emergency measure therefore united nation development programme undp hereby invite submit bid response invitation bid itb abovereferenced subject itb includes following document section letter invitation section instruction bidder including data sheet section schedule requirement technical specification section criterion award checklist document required section bid submission form section document establishing eligibility qualification bidder section technical bid form section price schedule form section form performance security may required winning entity section template purchase order general term condition good offer comprising technical financial proposal one archived file submitted accordance section kindly requested submit acknowledgment letter undp following address united nation development programme ukraine healthprocurementuaundporg attention procurement unit mandatory subject email itb undpukr procurement radiopharmaceutical treatment cancer patient letter received undp preferably later march letter advise whether company intends submit bid case undp would appreciate indicating reason record received itb direct invitation undp transferring invitation another firm requires notifying undp accordingly require clarification kindly communicate contact person identified attached data sheet focal point query itb undp look forward receiving bid thanks advance interest undp procurement opportunity,"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease|3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
